runName, messagesPerSec, kbytesPerSec, status, instanceType, numberRecordsAttempted, percentMessagesReceived, averageRecordSizeBytes, numberKeys, numberPartitions, numberProcessors, retries, compression.type, acks, batch.size, linger.ms, max.in.flight.requests.per.connection
baldur1506516318100,230859,230859,DONE,c4.2xlarge,50000000,100.0,1000,50,50,8,null,none,1,65536,100,null,
baldur1506516553654,179271,179271,DONE,c4.2xlarge,50000000,100.0,1000,50,50,8,null,gzip,1,65536,100,null,
baldur1506517290612,770487,770487,DONE,c4.2xlarge,50000000,100.0,1000,50,50,8,null,lz4,1,65536,100,null,
baldur1506517873557,767867,767867,DONE,c4.2xlarge,500000000,100.0,1000,50,50,8,null,lz4,1,65536,100,null,
baldur1506518735371,763351,763351,DONE,c4.2xlarge,5000000000,100.0,1000,50,50,8,null,lz4,1,65536,100,null,
dhlutz11506541808903,169482,169482,DONE,c4.2xlarge,100000000,100.0,1000,200,50,1,null,snappy,1,16384,0,null,
baldur1506609182976,510308,510308,DONE,c4.2xlarge,10000000,100.0,1000,50,50,8,null,snappy,1,16384,0,null,
dhlutz1506616822886,243372,243372,DONE,c4.2xlarge,100000000,140.0,1000,200,50,1,null,snappy,1,16384,0,null,
dhlutz1506618439172,178132,178132,DONE,c4.2xlarge,100000000,100.0,1000,200,50,1,null,snappy,1,16384,0,null,
dhlutz15066184391721506619182010,608172,608172,DONE,c4.2xlarge,100000000,100.0,1000,200,50,8,null,snappy,1,16384,0,null,
finnr1506824193782,422884,422884,DONE,c4.xlarge,100000000,100.0,1000,120,60,4,1,lz4,1,32768,20,5,
dhlutz150661843917215066191820101506620032851,175462,175462,DONE,c4.2xlarge,100000000,100.0,1000,200,50,1,null,snappy,1,16384,0,null,
baldur1506622736522,673060,673060,DONE,c4.2xlarge,4000000,100.0,1000,60,50,8,null,lz4,1,65000,100,null,
baldur15066227365221506622752081,738402,738402,DONE,c4.2xlarge,40000000,100.0,1000,60,50,8,null,lz4,1,65000,100,null,
baldur150662273652215066227520811506623173634,681907,681907,DONE,c4.2xlarge,40000000,100.0,1000,60,50,8,null,lz4,1,65000,0,null,
mymir1506707087721,332000,332000,DONE,c4.xlarge,100000000,100.0,1000,50,60,4,null,snappy,1,16384,0,null,
mymirx1506716452783,4304,21520,DONE,c4.xlarge,3000,100.0,5000,30,60,4,null,snappy,1,16384,0,null,
baldursoftx1506717698437,7363,7363,DONE,laptop,5000,100.0,1000,50,50,8,null,snappy,null,null,100,null,
mymirx11506718795603,103914,519570,DONE,c4.xlarge,3000000,100.0,5000,30,60,4,null,snappy,1,16384,0,null,
mymirx1506718934800,106818,534090,DONE,c4.xlarge,3000000,99.86456666666666,5000,30,60,4,null,snappy,1,16384,0,null,
mymirx1506721357673,114916,574580,DONE,c4.xlarge,3000000,100.0,5000,30,60,4,null,snappy,1,16384,0,null,
mymirx1506721736544,563914,281957,DONE,c4.xlarge,100000000,100.0,500,120,30,4,1,lz4,1,32768,40,5,
mymirx1506721919233,535675,401756,DONE,c4.xlarge,100000000,187.432974,750,120,30,4,1,lz4,1,32768,40,5,
mymirx1506721973833,538394,269197,DONE,c4.xlarge,100000000,173.47085099999998,500,120,30,4,1,lz4,1,32768,40,5,
mymirx1506722301958,434812,326109,DONE,c4.xlarge,100000
